3.709445000000000103e-02 9.789837800135805423e+01 8.341174625669300013e+00
5.463876000000000149e-02 8.011290083794646932e+01 5.419081181899377597e+00
8.048088999999999937e-02 4.937546941105570397e+01 3.755817427525414143e+00
1.185453999999999952e-01 3.782056019542446990e+01 2.498615346031034079e+00
1.746129999999999904e-01 2.447792772112057236e+01 1.774928990446910104e+00
2.571984999999999966e-01 2.002394768704263583e+01 1.178489622093773503e+00
3.788440000000000141e-01 1.357645626995419619e+01 8.248413842075559277e-01
5.580232999999999999e-01 9.263339869361868040e+00 5.678751665904471224e-01
8.219478000000000062e-01 7.221596231630005747e+00 4.068866954552971538e-01
1.210698999999999970e+00 5.398638860943214546e+00 2.839002525482838268e-01
