3.709445000000000103e-02 5.908209775224382554e+01 6.427067836171200810e+00
5.463876000000000149e-02 3.655720552807238022e+01 4.463265981855875530e+00
8.048088999999999937e-02 2.816934667294213313e+01 2.925765120272044495e+00
1.185453999999999952e-01 1.868133696668173371e+01 1.975232758038685033e+00
1.746129999999999904e-01 1.338032148844902558e+01 1.325018151026879698e+00
2.571984999999999966e-01 8.922281978391405133e+00 9.253629985731753882e-01
3.788440000000000141e-01 1.000389155147091458e+01 6.711590234896271934e-01
5.580232999999999999e-01 6.516262200885281963e+00 4.658702536039893149e-01
8.219478000000000062e-01 4.503304211697510162e+00 3.517232672149842032e-01
1.210698999999999970e+00 3.730440080842458261e+00 2.331830303253717152e-01
